,lat,long,headings,segment_links
38.89736163333333_-77.04288460000001,38.89736163333333,-77.04288460000001,[90.08305774433438],['38.89736096666667_-77.0422976']
38.89736096666667_-77.0422976,38.89736096666667,-77.0422976,[90.08305774433438],['38.8973603_-77.0417106']
38.89690456666666_-77.0434705,38.89690456666666,-77.0434705,[179.8928376800219],['38.896446833333336_-77.0434694']
38.896446833333336_-77.0434694,38.896446833333336,-77.0434694,[179.8928376800219],['38.8959891_-77.0434683']
38.89736_-77.04831837500001,38.89736,-77.04831837500001,[90.053466213462],['38.8973596_-77.04777455']
38.8973596_-77.04777455,38.8973596,-77.04777455,[90.053466213462],['38.8973592_-77.04723072499999']
38.8973592_-77.04723072499999,38.8973592,-77.04723072499999,[90.053466213462],['38.8973588_-77.0466869']
38.8978508_-77.04886020000001,38.8978508,-77.04886020000001,[0.181855382537492],['38.8983412_-77.0488582']
38.9085919_-77.041677175,38.9085919,-77.041677175,"[180.1773224223529, 0.1773179630300774]","['38.9081456_-77.04167895', '38.9090382_-77.0416754']"
38.9081456_-77.04167895,38.9081456,-77.04167895,"[180.1773224223529, 0.1773179630300774]","['38.9076993_-77.04168072499999', '38.9085919_-77.041677175']"
38.9076993_-77.04168072499999,38.9076993,-77.04168072499999,"[180.1773224223529, 0.1773179630300774]","['38.907253_-77.0416825', '38.9081456_-77.04167895']"
38.90916255_-77.04203319999999,38.90916255,-77.04203319999999,"[294.0671133385956, 114.06666387923087]","['38.9092869_-77.042391', '38.9090382_-77.0416754']"
